Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-02-22T21:52:33.970Z","Included","auto","No","0","1665","174080","1324","177069","0.05"
"2026-02-22T21:51:33.322Z","Included","auto","No","0","1822","172544","903","175269","0.05"
"2026-02-22T21:50:58.396Z","Included","gpt-5.3-codex","No","0","129271","966912","2973","1099156","0.44"
"2026-02-22T21:47:33.317Z","Included","auto","No","0","1632","171008","1188","173828","0.05"
"2026-02-22T21:42:58.532Z","Included","auto","No","0","160075","11264","754","172093","0.21"
"2026-02-22T21:38:11.578Z","Included","gpt-5.3-codex","No","0","482742","4910592","12539","5405873","1.88"
"2026-02-22T21:35:19.315Z","Included","gpt-5.3-codex","No","0","432655","724736","4417","1161808","0.95"
"2026-02-22T21:31:23.219Z","Included","auto","No","0","4507","221184","548","226239","0.06"
"2026-02-22T21:29:25.067Z","Included","auto","No","0","43387","66560","1186","111133","0.08"
"2026-02-22T21:24:27.185Z","Included","gpt-5.3-codex","No","0","337014","1118592","5540","1461146","0.86"
"2026-02-22T21:23:48.357Z","Included","gpt-5.3-codex","No","0","70652","82816","1709","155177","0.16"
"2026-02-22T21:20:17.745Z","Included","auto","No","0","10697","182272","2017","194986","0.07"
"2026-02-22T21:17:03.720Z","Included","auto","No","0","27514","395776","6095","429385","0.17"
"2026-02-22T21:12:33.206Z","Included","auto","No","0","29166","202752","4195","236113","0.11"
"2026-02-22T21:08:21.316Z","Included","auto","No","0","10472","50176","734","61382","0.03"
"2026-02-22T21:05:45.552Z","Included","gpt-5.3-codex","No","0","361366","1174016","6375","1541757","0.93"
"2026-02-22T21:04:34.776Z","Included","auto","No","0","1545","37888","1370","40803","0.02"
"2026-02-22T21:04:07.472Z","Included","auto","No","0","74511","256000","4733","335244","0.19"
"2026-02-22T21:02:19.515Z","Included","auto","No","0","11736","344064","3973","359773","0.12"
"2026-02-22T21:00:25.892Z","Included","auto","No","0","2762","61952","775","65489","0.02"
"2026-02-22T20:57:33.793Z","Included","auto","No","0","52326","244224","3637","300187","0.15"
"2026-02-22T20:54:30.296Z","Included","auto","No","0","20595","1779200","7238","1807033","0.51"
"2026-02-22T20:52:51.737Z","Included","auto","No","0","1022","37376","657","39055","0.01"
"2026-02-22T20:51:56.032Z","Included","auto","No","0","756","36864","341","37961","0.01"
"2026-02-22T20:50:53.743Z","Included","auto","No","0","1139","35840","181","37160","0.01"
"2026-02-22T20:48:30.387Z","Included","auto","No","0","1037","34816","747","36600","0.01"
"2026-02-22T20:45:33.591Z","Included","auto","No","0","1726","33280","401","35407","0.01"
"2026-02-22T20:42:46.687Z","Included","auto","No","0","1285","32256","1073","34614","0.02"
"2026-02-22T20:41:36.015Z","Included","auto","No","0","22328","109568","1586","133482","0.06"
"2026-02-22T20:37:43.266Z","Included","auto","No","0","174136","9595904","36842","9806882","2.84"
"2026-02-22T20:35:31.810Z","Included","composer-1","No","0","61798","270688","2777","335263","0.14"
"2026-02-22T20:35:31.688Z","Included","composer-1","No","0","67458","181760","1587","250805","0.12"
"2026-02-22T20:35:09.381Z","Included","gpt-5.3-codex","No","0","126140","103936","3950","234026","0.29"
"2026-02-22T20:32:15.163Z","Included","auto","No","0","2052","145920","1627","149599","0.05"
"2026-02-22T20:29:30.935Z","Included","auto","No","0","7414","570368","3116","580898","0.17"
"2026-02-22T20:28:20.559Z","Included","auto","No","0","5916","409600","1319","416835","0.12"
"2026-02-22T20:27:26.508Z","Included","auto","No","0","1104","134144","505","135753","0.04"
"2026-02-22T20:19:48.003Z","Included","auto","No","0","19418","1647104","8775","1675297","0.49"
"2026-02-22T20:14:19.761Z","Included","auto","No","0","26866","1613824","7837","1648527","0.48"
"2026-02-22T20:12:57.366Z","Included","auto","No","0","86704","474112","3037","563853","0.25"
"2026-02-22T20:11:49.776Z","Included","auto","No","0","2281","225280","364","227925","0.06"
"2026-02-22T20:11:06.597Z","Included","gpt-5.3-codex","No","0","219875","112128","3240","335243","0.45"
"2026-02-22T20:06:18.620Z","Included","auto","No","0","80635","2097664","14237","2192536","0.71"
"2026-02-22T20:04:47.001Z","Included","auto","No","0","1289","168960","581","170830","0.05"
"2026-02-22T20:03:24.093Z","Included","auto","No","0","6977","166912","2202","176091","0.06"
"2026-02-22T20:01:38.330Z","Included","auto","No","0","1683","165376","944","168003","0.05"
"2026-02-22T19:58:34.961Z","Included","auto","No","0","6620","197632","1598","205850","0.07"
"2026-02-22T19:56:33.726Z","Included","auto","No","0","48724","207872","4964","261560","0.14"
"2026-02-22T19:55:54.572Z","Errored, No Charge","auto","No","0","8223","11264","0","19487","0.01"
"2026-02-22T19:53:44.934Z","Included","auto","No","0","19295","1558528","10087","1587910","0.47"
"2026-02-22T19:52:55.814Z","Included","auto","No","0","14235","1770496","5033","1789764","0.49"
"2026-02-22T19:49:40.347Z","Included","auto","No","0","15149","888832","7211","911192","0.28"
"2026-02-22T19:48:41.937Z","Included","auto","No","0","18037","1247232","9758","1275027","0.39"
"2026-02-22T19:47:55.834Z","Included","auto","No","0","995","140288","2881","144164","0.05"
"2026-02-22T19:42:07.092Z","Included","auto","No","0","2204","138240","114","140558","0.04"
"2026-02-22T19:40:36.748Z","Included","auto","No","0","77228","1898496","13332","1989056","0.65"
"2026-02-22T19:39:58.434Z","Included","auto","No","0","2429","136192","1201","139822","0.04"
"2026-02-22T19:36:58.061Z","Included","auto","No","0","57318","391680","3878","452876","0.19"
"2026-02-22T19:36:54.982Z","Included","auto","No","0","125369","11264","1363","137996","0.17"
"2026-02-22T19:34:59.918Z","Included","auto","No","0","45629","229888","4870","280387","0.14"
"2026-02-22T19:34:47.493Z","Included","auto","No","0","7265","230912","1364","239541","0.07"
"2026-02-22T19:33:05.630Z","Included","auto","No","0","8780","149504","1323","159607","0.06"
"2026-02-22T19:32:59.276Z","Errored, No Charge","auto","No","0","0","0","0","0","0.00"
"2026-02-22T19:27:47.716Z","Included","auto","No","0","63137","816128","6325","885590","0.32"
"2026-02-22T19:27:44.143Z","Included","auto","No","0","1734","34304","1354","37392","0.02"
"2026-02-22T19:23:51.505Z","Included","auto","No","0","1276","33280","850","35406","0.02"
"2026-02-22T19:20:40.949Z","Included","auto","No","0","17399","148480","1708","167587","0.07"
"2026-02-22T19:19:51.483Z","Included","auto","No","0","48082","427008","11340","486430","0.23"
"2026-02-22T19:15:27.213Z","Included","auto","No","0","11332","301568","1316","314216","0.10"
"2026-02-22T19:13:10.239Z","Included","auto","No","0","62194","287744","2997","352935","0.17"
"2026-02-22T19:10:34.750Z","Included","auto","No","0","48397","225280","5442","279119","0.15"
"2026-02-22T19:06:49.676Z","Included","auto","No","0","46637","171008","4013","221658","0.13"
"2026-02-22T19:02:17.899Z","Included","auto","No","0","92537","2823168","16009","2931714","0.92"
"2026-02-22T19:00:43.323Z","Included","auto","No","0","45278","236544","5150","286972","0.15"
"2026-02-22T18:56:57.504Z","Included","auto","No","0","122771","656896","5602","785269","0.35"
"2026-02-22T18:56:37.851Z","Included","auto","No","0","1313","35840","771","37924","0.02"
"2026-02-22T18:54:23.554Z","Included","auto","No","0","1759","34304","412","36475","0.01"
"2026-02-22T18:53:24.302Z","Included","auto","No","0","47593","189440","6072","243105","0.14"
"2026-02-22T18:51:12.998Z","Included","auto","No","0","46578","257024","3599","307201","0.14"
"2026-02-22T18:48:04.207Z","Included","auto","No","0","24427","111616","1868","137911","0.07"
"2026-02-22T18:47:13.091Z","Included","auto","No","0","9144","164352","1955","175451","0.06"
"2026-02-22T18:46:43.980Z","Included","auto","No","0","41820","257024","5639","304483","0.15"
"2026-02-22T18:44:02.928Z","Included","auto","No","0","28991","130560","1990","161541","0.08"
"2026-02-22T18:43:12.556Z","Included","auto","No","0","1890","34304","220","36414","0.01"
"2026-02-22T18:40:45.393Z","Included","auto","No","0","2893","217088","901","220882","0.06"
"2026-02-22T18:38:14.478Z","Included","auto","No","0","23531","11264","800","35595","0.04"
"2026-02-22T18:35:45.262Z","Included","auto","No","0","68230","1118720","7718","1194668","0.41"
"2026-02-22T18:34:06.030Z","Included","auto","No","0","1488","32256","473","34217","0.01"
"2026-02-22T18:31:56.016Z","Included","auto","No","0","44615","222720","5261","272596","0.14"
"2026-02-22T18:21:00.073Z","Included","auto","No","0","15412","116736","1728","133876","0.06"
"2026-02-22T18:20:02.331Z","Included","auto","No","0","80333","1885184","11333","1976850","0.64"
"2026-02-22T18:19:00.596Z","Included","auto","No","0","9805","30208","564","40577","0.02"
"2026-02-22T18:13:31.957Z","Included","auto","No","0","123339","412160","2637","538136","0.27"
"2026-02-22T18:12:28.673Z","Included","auto","No","0","51784","292864","7671","352319","0.18"
"2026-02-22T18:09:40.893Z","Included","gpt-5.3-codex","No","0","39711","2402816","3156","2445683","0.53"
"2026-02-22T18:07:08.921Z","Included","gpt-5.3-codex","No","0","21005","2208000","2959","2231964","0.46"
"2026-02-22T18:06:25.376Z","Included","auto","No","0","79271","1404416","10442","1494129","0.51"
"2026-02-22T18:06:19.623Z","Included","gpt-5.3-codex","No","0","28364","652160","1011","681535","0.18"
"2026-02-22T18:04:35.832Z","Included","gpt-5.3-codex","No","0","119972","542208","1410","663590","0.32"
"2026-02-22T18:03:24.314Z","Included","auto","No","0","52043","354304","7172","413519","0.20"
"2026-02-22T18:02:01.307Z","Included","auto","No","0","6933","243712","998","251643","0.08"
"2026-02-22T18:01:48.783Z","Errored, No Charge","auto","No","0","6152","75776","0","81928","0.03"
"2026-02-22T18:00:48.663Z","Included","gpt-5.3-codex","No","0","288996","554880","2438","846314","0.64"
"2026-02-22T17:57:50.109Z","Included","gpt-5.3-codex","No","0","187784","1145088","5505","1338377","0.61"
"2026-02-22T17:57:26.908Z","Included","auto","No","0","68339","998400","6536","1073275","0.37"
"2026-02-22T17:53:39.560Z","Included","auto","No","0","49594","300032","5835","355461","0.17"
"2026-02-22T17:53:28.282Z","Included","gpt-5.3-codex","No","0","140404","135680","2081","278165","0.30"
"2026-02-22T17:50:54.637Z","Included","gpt-5.3-codex","No","0","41309","9728","801","51838","0.09"
"2026-02-22T17:47:32.484Z","Included","auto","No","0","69812","1022976","5600","1098388","0.38"
"2026-02-22T17:45:29.018Z","Included","auto","No","0","52882","306176","6609","365667","0.18"
"2026-02-22T17:44:12.450Z","Included","gpt-5.3-codex","No","0","81570","108672","2198","192440","0.19"
"2026-02-22T17:42:36.325Z","Included","auto","No","0","7357","287744","1460","296561","0.09"
"2026-02-22T17:41:25.336Z","Included","gpt-5.3-codex","No","0","157102","293888","4383","455373","0.39"
"2026-02-22T17:37:51.550Z","Included","auto","No","0","110409","340973","8542","459924","0.27"
"2026-02-22T17:35:33.437Z","Included","auto","No","0","64804","1567232","16160","1648196","0.57"
"2026-02-22T17:31:58.529Z","Included","auto","No","0","185763","3177984","8592","3372339","1.08"
"2026-02-22T17:30:22.776Z","Included","gpt-5.3-codex","No","0","310014","173568","1567","485149","0.59"
"2026-02-22T17:27:46.999Z","Included","gpt-5.3-codex","No","0","150696","6656","445","157797","0.27"
"2026-02-22T17:26:19.876Z","Included","composer-1","No","0","48630","66272","1430","116332","0.07"
"2026-02-22T17:26:19.872Z","Included","composer-1","No","0","8672","26304","881","35857","0.02"
"2026-02-22T17:26:19.821Z","Included","composer-1","No","0","30712","74080","2000","106792","0.06"
"2026-02-22T17:26:03.614Z","Included","gpt-5.3-codex","No","0","93972","86272","5062","185306","0.25"
"2026-02-22T17:23:19.362Z","Included","auto","No","0","6320","128512","1305","136137","0.05"
